SOURCE_ID,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,bp_rp,absolute_magnitude
5901072584094014976,223.55399505627238,-51.316883640207735,0.4063074209093214,-7.7756761464223425,0.8871471139033064,18.662317,1.5725574,30.618043503643626
5901072584094018048,223.56504965869962,-51.32152813327576,0.30115969015636296,-4.017071361696246,-2.145306184069561,18.876677,1.7794647,31.482692351190828
5901072588393472000,223.56333034605325,-51.32155445569651,0.37633909469718624,0.6595623110947865,-0.3952763255827456,18.106533,1.5512028,30.22863637125048
5901072588393474560,223.57361320244246,-51.318601170312846,0.1445650961731556,-3.5783211751193353,-5.54295979013933,19.74179,1.4594326,33.941473524160315
5901072588393475840,223.55909537849834,-51.32098186040534,0.15879137726401232,-4.140319546149157,-5.980080314244136,19.713734,1.621275,33.70959909537118
4265039246667719680,283.9330678318669,-1.422750485616763,0.27123113710683333,-0.6186442556106089,-4.941479425102415,20.582232,1.3891239,33.41553379811187
4265039246667722752,283.92817244273465,-1.426688303962569,0.2678865280108429,-3.5013015871033146,-3.4213324227715765,20.582,,33.44224636478522
4265039246667723776,283.9313352160569,-1.4238367682827853,0.5591483103382622,-0.14198954336210412,-16.962430733763682,19.971098,2.154274,31.23346286184621
4265039246667728512,283.92814456713694,-1.4260307365037779,0.43354778354157786,-2.649783785580526,-6.179655206866696,19.434116,2.4325905,31.248931512079107
4265039246667738880,283.9300465325725,-1.4233930991704875,0.22016691794042414,-4.408476868973678,-6.661972875964273,19.93361,1.7581825,33.219850601707485
4265039246667740800,283.9285724884886,-1.4244132268171512,1.4662899048039353,0.1887667641939069,-2.4963247999655174,20.473366,2.2044716,29.642266561056168
4265039246667741568,283.93045069375034,-1.4222454848906059,1.4503339621538354,-5.04316536842606,-7.711484228790918,19.878962,2.596117,29.07162147876077
4265039246667755008,283.92288049750294,-1.4273941595001465,1.6135445417290653,-2.2590257639331495,-5.135248901292018,20.408878,2.4638157,29.369973533619255
4265039246667756160,283.93100919000636,-1.420777792662336,0.3148893674059323,-3.3321447258575456,-5.2359618353455994,19.993158,1.8131332,32.502368358244574
5900981363304520064,223.1940479469206,-51.35816268943012,0.6274616183857037,0.2683706720564145,4.616276825999622,17.451223,1.6037502,28.46328754681584
5900981363306219648,223.20720138877172,-51.35217457963917,2.4767627068282305,-1.7838151673782936,-7.123588959622397,19.779581,1.8825531,27.810159071033407
5900981363306219776,223.20073914274127,-51.35315002908787,3.0845340006735644,-48.08319054614329,-15.126215977872457,18.71158,2.9065838,26.26563246741886
5900981363306221568,223.19730508918508,-51.34938642880332,0.4644900941451462,-8.34741244657699,-2.820438275499482,17.02953,1.4491291,28.694647288862022
5900981363306221696,223.20006014233152,-51.348250676964945,0.25803894039692105,-4.5324118748474636,0.38603223744309323,20.595715,1.6451168,33.53728831983019
5900981363306221824,223.19156300963778,-51.34979888350748,0.10147489653942188,-7.256109253362352,-3.1219976743733238,19.253632,1.465414,34.22183850581336
5900981363306222720,223.1996736882556,-51.34584607708679,1.3207430615224758,-8.552585599817943,-4.664999417717056,20.0643,1.371418,29.460208848038953
5900981393341169152,223.17220200912124,-51.35468956296955,0.5087468171135524,-4.24893699583081,-0.9128538397690302,18.085545,1.5302238,29.55303606041422
5900981393343378304,223.17909059350387,-51.34894838196689,0.27442513711349314,-4.208045308797761,-1.2566697185683076,18.611677,1.5011902,31.419557720455757
4264960356682890752,284.6110792374672,-1.7024597810678896,0.6042590624796557,-1.328012203546865,-2.426137713043034,19.999166,3.3693085,31.09305062597229
4264960356682917120,284.6099839205369,-1.7001241610975297,0.3009066756934872,-3.2309366066419383,-4.8632172081901786,19.572422,2.1651611,32.18026291366841
4264960356721627520,284.61443767640793,-1.7106480233493548,0.3998152518524642,-3.1590379280232663,-5.358972464934022,18.439104,1.9346695,30.42980729400828
