HIP,MAGNITUDE,RA_DEGREES,DEC_DEGREES,PARALLAX_MAS,RA_MAS_PER_YEAR,DEC_MAS_PER_YEAR,DISTANCE_PARSECS,ABS_MAG,COLOR_K_R,COLOR_K_G,COLOR_K_B,Dx,Dy,Dz,GLON,GLAT,RA_HOURS,EPOCH_YEAR,stereo_X,stereo_Y
1342.0,6.78,4.190152789160351,-78.7839908377926,0.0,61.6,-25.18,104.8218,1.678,0.9390000000000001,0.907,1.0,47.33072528971631,-67.41982059503194,-64.82268113649047,305.07,-38.2,0.2802777778,2000.0,3.0,0.9597681252,2.8314109976
1415.0,6.11,4.432979505335936,51.43172335636943,0.0,-4.19,-1.62,735.2941,-3.222,0.579,0.677,1.0,-334.18585276975443,639.5104057970038,-141.43433169041154,117.59,-11.09,0.2952777778,2000.0,0.0,0.391251159,-0.3321008695
1402.0,6.46,4.384415562285739,-19.048732930607102,0.0,20.45,-2.36,48.4966,3.031,1.0,0.937,0.988,2.0889945114976154,9.20217748223958,-47.56969879110331,77.21,-78.78,0.29238888886666664,2000.0,3.0,1.3937102524,0.1615598401
1421.0,6.19,4.4476016139226715,1.683634116576902,0.0,90.04,9.15,117.3709,0.842,1.0,0.89,0.869,-16.033556554783257,56.32354557259199,-101.71780299016845,105.89,-60.07,0.29658333333333337,2000.0,3.0,1.039497427,-0.1136652848
1473.0,4.51,4.5863083260433655,36.78944410692998,2.3e-05,-66.51,-42.48,41.3223,1.429,0.756,0.795,1.0,-16.094806492395424,33.60750407842359,-17.86128077381596,115.59,-25.61,0.3054722222,2000.0,2.0,0.5581949367,-0.3019474933
1465.0,6.07,4.574278722662342,11.207646024728124,0.0,-32.75,-28.6,153.8462,0.135,1.0,0.89,0.869,-33.23507842740493,91.31262751309849,-119.27316074045484,110.0,-50.83,0.3047777778,2000.0,3.0,0.8943894715,-0.1873090005
1501.0,6.1,4.668963238699803,43.794872985038566,0.0,23.31,-2.7199999999999998,202.8398,-0.436,0.355,0.499,1.0,-86.33872701644167,171.66545073486643,-64.96600422694559,116.7,-18.68,0.31169444446666666,2000.0,0.0,0.4762940987,-0.3176006233
1493.0,5.88,4.6591569380656495,31.51256254335047,0.0,58.09,-2.91,166.6667,-0.229,0.34900000000000003,0.493,1.0,-60.001086479995976,129.91379231479496,-85.44041828372775,114.79,-30.84,0.3106388888666667,2000.0,0.0,0.6221207778,-0.2852451899
1499.0,6.47,4.66707440108965,-8.046463203196772,5.3e-05,417.66,-144.2,23.245,4.638,1.0,0.833,0.738,-1.320277719000473,8.071288371611509,-21.758703908252436,99.29,-69.4,0.31161111113333334,2000.0,3.0,1.1961478473,-0.0037486884
1502.0,6.33,4.675597545857272,-43.23665924047605,0.0,50.23,-0.06,112.4859,1.075,1.0,0.64,0.378,26.96490023411994,-20.172322651375755,-107.32683379762375,323.2,-72.58,0.31183333333333335,2000.0,5.0,1.7930610135,0.8586368164
1562.0,3.56,4.856157555752901,-8.821431926315626,1.3e-05,-14.37,-37.84,84.1751,-1.066,1.0,0.613,0.338,-4.452789342258283,28.177460502533723,-79.1937550991972,98.98,-70.19,0.32380555553333334,2000.0,5.0,1.2069224198,0.0093632608
1575.0,6.35,4.917670584252363,40.73211941271009,0.0,-25.3,-19.0,175.1313,0.133,1.0,0.613,0.338,-72.48355219795485,145.63403973066048,-64.86781460928653,116.46,-21.74,0.3282222222,2000.0,5.0,0.5111287037,-0.3087934323
1603.0,6.53,5.014660986105412,48.868361789166144,0.0,-3.26,-14.65,210.9705,-0.091,0.34900000000000003,0.493,1.0,-95.0641342060189,181.6092506529435,-49.8943116515937,117.63,-13.68,0.3347777778,2000.0,0.0,0.4188913675,-0.3241533521
1599.0,4.23,4.966711644864631,-64.89493672894007,0.000134,1707.56,1165.36,8.5866,4.561,1.0,0.808,0.682,3.287365440449474,-4.155066565026373,-6.757096259573219,308.35,-51.9,0.3345277778,2000.0,3.0,1.6953902079,2.0398421099
1630.0,5.89,5.102174271102058,30.93115923074627,0.0,15.27,-0.64,159.7444,-0.127,0.363,0.506,1.0,-57.86099223246438,123.3518177187286,-83.39489177833529,115.13,-31.47,0.3401111111333333,2000.0,0.0,0.628017962,-0.2785825401
1657.0,5.79,5.185669071725869,32.910111515994,0.0,-29.44,-17.29,191.9386,-0.626,1.0,0.715,0.502,-71.9836839518648,150.7137955241363,-94.57339611850092,115.53,-29.52,0.3459722222,2000.0,5.0,0.6034848034,-0.2843583788
1645.0,5.38,5.151308134842822,8.19028215924904,0.0,-4.5,9.59,125.0,-0.105,1.0,0.653,0.398,-25.08088522391125,69.2474160265979,-100.99873548725381,109.91,-53.9,0.3433055555333333,2000.0,5.0,0.9344738196,-0.1574166379
1670.0,6.57,5.228909870967158,10.979002109217408,4.9999999999999996e-06,-35.92,-27.47,310.559,-0.891,0.34900000000000003,0.493,1.0,-69.54565950809489,181.8363370106062,-241.96247698176137,110.93,-51.18,0.3484722222,2000.0,0.0,0.8933035038,-0.176449917
1686.0,5.16,5.281355680367568,37.96513560289615,1.7e-05,58.32,-39.65,48.5437,1.729,0.9390000000000001,0.907,1.0,-19.61697767931408,39.570154632650485,-20.146162383129518,116.37,-24.52,0.3520277778,2000.0,3.0,0.5427571825,-0.2985561322
1647.0,5.5,5.168375380583484,-69.6224037598589,1.1e-05,-4.01,-0.64,97.561,0.554,0.34900000000000003,0.493,1.0,39.71977540244315,-52.9595034368298,-71.66435068221777,306.87,-47.27,0.3441666666666666,2000.0,0.0,1.515072021,2.3349004018
1708.0,5.18,5.384500993807592,-28.979339815412306,2.7e-05,32.77,-71.48,101.3171,0.152,1.0,0.89,0.869,11.643513493534616,3.233409432639443,-100.59387858799757,15.52,-83.15,0.35866666666666663,2000.0,3.0,1.5516530699,0.3960384333
1728.0,5.61,5.443675757340003,-20.06020931341921,0.0,62.63,-12.77,270.2703,-1.549,1.0,0.493,0.189,9.948940214302224,44.91386485546759,-266.3264883455024,77.51,-80.2,0.36286111113333336,2000.0,6.0,1.3930349306,0.1983985376
1772.0,6.25,5.603598546485955,13.485377769320186,0.0,63.78,22.35,153.8462,0.315,1.0,0.666,0.419,-38.288085120664576,93.86891693747091,-115.7207942645527,112.19,-48.78,0.37375,2000.0,5.0,0.8552428394,-0.1878908914
1706.0,5.96,5.3768442786160335,-77.42556952634612,0.0,14.23,-6.44,174.8252,-0.253,1.0,0.666,0.419,77.36303438530139,-110.32185894105079,-111.39074874301528,305.04,-39.58,0.3579444444666667,2000.0,5.0,1.0509788047,2.7562398031
