HIP,RA_Numpy,DEC_Numpy,RA_Astropy,DEC_Astropy,RA_Direct,DEC_Direct,RA_Percent_Diff_Numpy_Astropy,DEC_Percent_Diff_Numpy_Astropy,RA_Percent_Diff_Numpy_Direct,DEC_Percent_Diff_Numpy_Direct
8704.0,27.9926,55.1532,27.9926,55.1533,27.9971,55.1475,0.0,0.0001,0.016,0.0104
8588.0,27.7136,11.0411,27.7135,11.0412,27.7167,11.0433,0.0001,0.0007,0.0112,0.0198
8514.0,27.4562,-38.4086,27.4561,-38.4085,27.4533,-38.4039,0.0002,-0.0002,0.0104,-0.0122
8714.0,28.0439,50.7932,28.0439,50.7933,28.0392,50.7928,0.0,0.0002,0.017,0.0009
8552.0,27.5861,-47.8185,27.5861,-47.8184,27.5842,-47.8164,0.0002,-0.0002,0.0071,-0.0045
8771.0,28.2149,51.4774,28.2148,51.4775,28.2117,51.4747,0.0,0.0002,0.0113,0.0052
8645.0,27.8633,-10.3361,27.8632,-10.336,27.865,-10.335,0.0001,-0.0008,0.0062,-0.0108
8847.0,28.452,55.5938,28.452,55.5939,28.4521,55.5981,0.0,0.0001,0.0001,0.0076
8593.0,27.724,-50.2039,27.724,-50.2038,27.7271,-50.2061,0.0002,-0.0002,0.011,-0.0044
8886.0,28.5896,63.6746,28.5896,63.6747,28.5988,63.67,0.0,0.0001,0.0321,0.0072
8814.0,28.3223,40.7295,28.3222,40.7295,28.3221,40.7297,0.0001,0.0002,0.0006,0.0007
8796.0,28.2699,29.5845,28.2699,29.5846,28.2704,29.5789,0.0001,0.0003,0.0019,0.019
